,Value (%),Level,Frequency (Hz),Voltage (V)
260,72.5,47512.0,300.0,2.952955077036332
261,73.0,47839.0,300.0,2.961475097046659
262,73.5,48167.0,300.0,2.968912444016475
263,74.0,48495.0,300.0,2.9752283167615934
264,74.5,48822.0,300.0,2.9811864185884467
265,75.0,49150.0,300.0,2.9869489144458368
266,75.5,49478.0,300.0,2.991759541254528
267,76.0,49805.0,300.0,2.996380082262212
268,76.5,50133.0,300.0,3.000924620950515
269,77.0,50461.0,300.0,3.0041110381922613
270,77.5,50788.0,300.0,3.0071847319938807
271,78.0,51116.0,300.0,3.0096080059463013
272,78.5,51444.0,300.0,3.01152718451499
273,79.0,51771.0,300.0,3.012985309013433
274,79.5,52099.0,300.0,3.014073502222498
275,80.0,52427.0,300.0,3.014779923780753
276,82.5,54065.0,300.0,3.015465064689556
277,85.0,55703.0,300.0,3.015466504733501
278,87.5,57342.0,300.0,3.0155236264766865
279,90.0,58980.0,300.0,3.015538746938121
280,92.5,60618.0,300.0,3.0154985057101054
281,95.0,62257.0,300.0,3.015467704770111
282,97.5,63895.0,300.0,3.0154886654097917
283,100.0,65534.0,300.0,3.015416343202746
284,0.0,0.0,325.0,0.16527768387462977
285,0.05,32.0,325.0,0.1651716006372264
286,0.1,65.0,325.0,0.165332645551927
287,0.15,98.0,325.0,0.16506455737052536
288,0.2,131.0,325.0,0.16513215943357548
289,0.21,137.0,325.0,0.165311044892727
290,0.22,144.0,325.0,0.16565265531784953
291,0.23,150.0,325.0,0.1657250575273888
292,0.24,157.0,325.0,0.16553097160435823
293,0.25,163.0,325.0,0.17590296813257342
294,0.26,170.0,325.0,0.1761330551542711
295,0.27,176.0,325.0,0.19656455867427403
296,0.28,183.0,325.0,0.1966824822730187
297,0.29,190.0,325.0,0.19649359650868242
298,0.3,196.0,325.0,0.22666059713248032
299,0.31,203.0,325.0,0.22571872838892962
300,0.32,209.0,325.0,0.2669874278096855
301,0.33,216.0,325.0,0.2644736710959207
302,0.34,222.0,325.0,0.2662839663417434
303,0.35,229.0,325.0,0.2952398100039663
304,0.36,235.0,325.0,0.29504268398815675
305,0.37,242.0,325.0,0.32708806193548234
306,0.38,249.0,325.0,0.33161252001098795
307,0.39,255.0,325.0,0.359645535510724
308,0.4,262.0,325.0,0.3594133684255491
309,0.41,268.0,325.0,0.3580801277382749
310,0.42,275.0,325.0,0.3952129409417999
311,0.43,281.0,325.0,0.3934835281643084
312,0.44,288.0,325.0,0.42675798362010586
313,0.45,294.0,325.0,0.4297049535544915
314,0.46,301.0,325.0,0.42862796068728
315,0.47,308.0,325.0,0.46105039014129884
316,0.48,314.0,325.0,0.4663274311838143
317,0.49,321.0,325.0,0.48994055179906804
318,0.5,327.0,325.0,0.4929575238697489
319,0.55,360.0,325.0,0.5391694141447212
320,0.6,393.0,325.0,0.5764711925046536
321,0.65,425.0,325.0,0.619513946065246
322,0.7,458.0,325.0,0.648824360548116
323,0.75,491.0,325.0,0.6815837602856523
324,0.8,524.0,325.0,0.7008388279036846
325,0.85,557.0,325.0,0.7335325456367653
326,0.9,589.0,325.0,0.7612434713071099
327,0.95,622.0,325.0,0.7845049811920458
328,1.0,655.0,325.0,0.8145632584978627
329,1.05,688.0,325.0,0.8407586979192411
330,1.1,720.0,325.0,0.8563434935294613
331,1.15,753.0,325.0,0.8772511715811585
332,1.2,786.0,325.0,0.8914024834449258
333,1.25,819.0,325.0,0.9109585202478101
334,1.3,851.0,325.0,0.9280284011792272
335,1.35,884.0,325.0,0.9366953056721673
336,1.4,917.0,325.0,0.9444840233649575
337,1.45,950.0,325.0,0.9509006991863688
338,1.5,983.0,325.0,0.9566337541453259
339,1.55,1015.0,325.0,0.9660610818445375
340,1.6,1048.0,325.0,0.9659212375768172
341,1.65,1081.0,325.0,0.9711199562291225
342,1.7,1114.0,325.0,0.9748647105099587
343,1.75,1146.0,325.0,0.9775466323557196
344,1.8,1179.0,325.0,0.9806423268288147
345,1.85,1212.0,325.0,0.9851321438471663
346,1.9,1245.0,325.0,0.9854781544065567
347,1.95,1277.0,325.0,0.9877493437177645
348,2.0,1310.0,325.0,0.9913514536454294
349,2.05,1343.0,325.0,0.9964671297634745
350,2.1,1376.0,325.0,0.9993040163383767
351,2.15,1408.0,325.0,0.9981541412469733
352,2.2,1441.0,325.0,1.000097080540778
353,2.25,1474.0,325.0,1.0004009298135303
354,2.5,1638.0,325.0,1.0113535840619996
355,3.0,1966.0,325.0,1.02645836502334
356,3.5,2293.0,325.0,1.040176463666476
357,4.0,2621.0,325.0,1.057248824673588
358,4.5,2949.0,325.0,1.0695004785644
359,5.0,3276.0,325.0,1.0851443159764387
360,5.5,3604.0,325.0,1.0963032165190445
361,6.0,3932.0,325.0,1.110741497140406
362,6.5,4259.0,325.0,1.1267935070088626
363,7.0,4587.0,325.0,1.1391987655873221
364,7.5,4915.0,325.0,1.1515367421124865
365,10.0,6553.0,325.0,1.2257078856361454
366,12.5,8191.0,325.0,1.2982964208624475
367,15.0,9830.0,325.0,1.3704949441865208
368,17.5,11468.0,325.0,1.4383247741886465
369,20.0,13106.0,325.0,1.5092322981145416
370,22.5,14745.0,325.0,1.5837476121414658
371,25.0,16383.0,325.0,1.653222532347771
372,27.5,18021.0,325.0,1.7262930022815255
373,30.0,19660.0,325.0,1.791347227578937
374,32.5,21298.0,325.0,1.8632545420160025
